Name Equatorial Polar BlueF GreenF RedF Parallax RadialVelocity Variable?
S332030 173.652 124.0275 2.204e-17 3.752e-17 8.215e-17 0.0 135.43 0.0
S332031 173.628 123.9722 8.322999999999999e-22 1.776e-21 5.98e-21 0.0 136.0 0.0
S332032 173.7171 124.1508 1.781e-18 1.996e-18 1.788e-18 0.0 131.97 0.0
S332033 173.6288 123.9033 4.215e-23 1.2299999999999998e-22 7.919999999999999e-22 0.0 135.78 0.0
S332034 173.648 124.0498 4.923e-21 8.327e-21 1.753e-20 0.0 133.43 0.0
S332035 173.6132 123.9751 4.37e-13 2.988e-13 1.038e-13 0.0 135.99 0.0
S332036 173.6889 124.0959 5.827e-24 1.8399999999999998e-23 1.441e-22 0.0 132.21 0.0
S332037 173.6542 124.0228 4.813e-22 1.2e-21 6.001e-21 0.0 134.74 0.0
S332038 173.587 124.0483 2.9849999999999997e-23 7.934e-23 4.521999999999999e-22 0.0 134.47 0.0
S332039 173.738 124.1066 8.943e-22 1.985e-21 7.344e-21 0.0 132.46 0.0
S332040 173.6485 124.0353 5.685e-21 9.619e-21 2.073e-20 0.0 133.93 0.0
S332041 173.7797 124.1048 1.245e-24 4.719e-24 5.513999999999999e-23 0.0 132.86 0.0
S332042 173.6719 124.1194 1.118e-19 1.618e-19 2.473e-19 0.0 132.35 0.0
S332043 173.6252 124.0417 1.165e-24 4.929e-24 6.943999999999999e-23 0.0 134.32 0.0
S332044 173.642 124.0345 2.1070000000000002e-20 3.5350000000000006e-20 7.321e-20 0.0 134.9 0.0
S332045 173.644 124.0149 5.324e-17 4.355e-17 2.115e-17 0.0 134.99 0.0
S332046 173.6238 124.0615 4.551999999999999e-22 1.005e-21 3.689e-21 0.0 133.72 0.0
S332047 173.7569 124.1276 1.015e-12 7.632e-13 3.068e-13 0.0 132.23 0.0
S332048 173.599 124.0089 3.3000000000000004e-26 1.9730000000000002e-25 5.964e-24 0.0 135.24 0.0
S332049 173.6356 124.0388 1.015e-17 1.646e-17 3.212e-17 0.0 134.25 0.0
S332050 173.6763 124.043 1.956e-18 2.074e-18 1.731e-18 0.0 133.32 0.0
S332051 173.6092 123.9762 3.635e-24 1.252e-23 1.147e-22 0.0 136.11 0.0
S332052 173.632 123.9708 4.352e-24 1.673e-23 1.9109999999999999e-22 0.0 135.72 0.0
S332053 173.6579 124.0184 1.751e-21 3.334e-21 9.642000000000001e-21 0.0 134.62 0.0
S332054 173.5991 124.0179 1.9620000000000002e-20 3.2120000000000005e-20 6.373e-20 0.0 135.15 0.0
S332055 173.6449 124.0178 7.267999999999999e-22 1.759e-21 7.819e-21 0.0 135.17 0.0
S332056 173.6525 124.0308 1.0929999999999998e-22 2.8919999999999997e-22 1.507e-21 0.0 134.35 0.0
S332057 173.655 124.026 4.822e-22 1.118e-21 4.6070000000000004e-21 0.0 135.1 0.0
S332058 173.702 124.0942 8.01e-21 1.366e-20 3.049e-20 0.0 132.24 0.0
S332059 173.6571 124.0494 1.441e-23 3.968e-23 2.3879999999999997e-22 0.0 132.89 0.0
S332060 173.6486 124.084 1.849e-17 3.291e-17 7.506e-17 0.0 132.81 0.0
S332061 173.6262 124.0386 4.681999999999999e-22 1.106e-21 4.694e-21 0.0 134.29 0.0
S332062 173.6425 124.0376 4.705e-23 1.3909999999999999e-22 9.755999999999999e-22 0.0 133.4 0.0
S332063 173.6614 124.0235 2.1170000000000002e-20 3.3720000000000004e-20 6.339e-20 0.0 134.37 0.0
S332064 173.7413 124.2226 6.583999999999999e-22 1.4220000000000001e-21 5.157e-21 0.0 131.92 0.0
S332065 173.6537 124.0447 9.028e-17 1.651e-16 4.201e-16 0.0 133.27 0.0
S332066 173.7114 124.0949 6.832e-23 2.075e-22 1.5320000000000001e-21 0.0 132.28 0.0
S332067 173.654 124.0261 3.0880000000000002e-21 2.118e-21 7.414999999999999e-22 0.0 134.95 0.0
S332068 173.6386 124.0954 5.3920000000000006e-20 7.747e-20 1.198e-19 0.0 132.85 0.0
S332069 173.6036 123.9609 4.765e-26 2.6670000000000003e-25 7.299e-24 0.0 136.11 0.0
S332070 173.6466 124.0288 6.635e-18 6.783e-18 4.985e-18 0.0 135.54 0.0
S332071 173.6253 124.0219 1.3299999999999998e-22 3.1139999999999996e-22 1.279e-21 0.0 134.92 0.0
S332072 173.6578 124.0273 1.016e-21 2.343e-21 9.863e-21 0.0 134.42 0.0
S332073 173.7146 123.95 1.6e-18 1.799e-18 1.643e-18 0.0 134.81 0.0
S332074 173.6205 124.0558 5.699e-21 1.1000000000000001e-20 3.002e-20 0.0 133.83 0.0
S332075 173.6188 124.0083 1.496e-22 3.5399999999999998e-22 1.551e-21 0.0 135.72 0.0
S332076 173.7166 124.0756 1.1019999999999999e-23 3.327e-23 2.3999999999999996e-22 0.0 132.78 0.0
S332077 173.671 124.0998 6.777e-23 1.8789999999999997e-22 1.176e-21 0.0 132.39 0.0
S332078 173.5914 124.0027 5.041e-25 2.137e-24 3.227e-23 0.0 135.6 0.0
S332079 173.5684 123.9401 5.018e-23 1.236e-22 5.939e-22 0.0 136.11 0.0
S332080 173.6253 123.99 6.798e-21 1.2690000000000001e-20 3.21e-20 0.0 135.96 0.0
S332081 173.6886 124.1093 3.0890000000000004e-20 5.093e-20 1.022e-19 0.0 132.2 0.0
S332082 173.6203 123.9961 8.234e-24 3.0299999999999996e-23 3.1899999999999997e-22 0.0 135.93 0.0
S332083 173.6137 124.08 4.253e-17 3.584e-17 1.821e-17 0.0 133.58 0.0
S332084 173.6306 124.0207 8.363e-24 2.4169999999999998e-23 1.5799999999999998e-22 0.0 135.31 0.0
S332085 173.6745 124.073 3.615e-17 6.312e-17 1.497e-16 0.0 132.48 0.0
S332086 173.6055 124.0041 2.827e-21 1.997e-21 7.156e-22 0.0 135.58 0.0
S332087 173.6182 124.023 6.441e-21 1.237e-20 3.4740000000000005e-20 0.0 135.06 0.0
S332088 173.6591 124.0659 4.678e-22 1.079e-21 4.356e-21 0.0 132.59 0.0
S332089 173.6489 124.0196 1.782e-19 2.491e-19 3.648e-19 0.0 135.3 0.0
S332090 173.6699 124.0497 5.894e-20 8.786000000000001e-20 1.419e-19 0.0 133.1 0.0
S332091 173.6765 124.0302 1.8119999999999997e-22 4.8809999999999995e-22 2.786e-21 0.0 133.89 0.0
S332092 173.6663 123.9743 1.208e-12 9.153e-13 3.693e-13 0.0 135.25 0.0
S332093 173.6571 124.043 1.711e-20 2.924e-20 6.387e-20 0.0 132.94 0.0
S332094 173.6227 124.032 3.588e-24 1.287e-23 1.322e-22 0.0 134.69 0.0
S332095 173.6159 123.9838 1.9369999999999999e-22 4.558e-22 1.933e-21 0.0 136.01 0.0
S332096 173.6374 124.0409 5.216e-25 2.208e-24 3.2839999999999997e-23 0.0 134.15 0.0
S332097 173.6601 124.0629 5.807e-24 1.779e-23 1.3559999999999998e-22 0.0 132.76 0.0
S332098 173.6618 124.0685 5.641e-20 8.279000000000001e-20 1.354e-19 0.0 132.62 0.0
S332099 173.6852 124.0727 3.1580000000000004e-20 5.245e-20 1.052e-19 0.0 132.61 0.0
S332100 173.7017 124.0191 1.309e-19 1.855e-19 2.862e-19 0.0 134.09 0.0
S332101 173.7184 124.2077 1.862e-21 4.023e-21 1.426e-20 0.0 131.94 0.0
S332102 173.6235 124.0735 2.375e-13 1.6e-13 5.261e-14 0.0 133.17 0.0
S332103 173.6748 124.0483 7.951e-19 9.549e-19 9.755e-19 0.0 132.82 0.0
S332104 173.6828 124.0585 2.235e-22 5.736999999999999e-22 2.913e-21 0.0 132.53 0.0
S332105 173.6607 124.0225 2.79e-16 2.136e-16 9.027e-17 0.0 134.41 1.0
S332106 173.6262 124.0256 1.023e-21 2.073e-21 6.395e-21 0.0 134.98 1.0
S332107 173.6708 124.0169 3.6419999999999996e-22 8.556e-22 3.565e-21 0.0 134.6 0.0
S332108 173.6416 124.0332 4.209e-21 8.363e-21 2.4870000000000002e-20 0.0 134.47 0.0
S332109 173.5854 124.0529 1.837e-17 3.749e-17 1.203e-16 0.0 134.91 0.0
S332110 173.6631 123.9896 7.651e-23 2.0309999999999997e-22 1.1220000000000001e-21 0.0 135.53 0.0
S332111 173.6458 124.0483 1.26e-21 2.4700000000000002e-21 7.252e-21 0.0 133.29 0.0
S332112 173.6242 124.0485 6.658e-17 5.517e-17 2.725e-17 0.0 133.5 0.0
S332113 173.6257 124.0817 2.053e-17 3.656e-17 8.731e-17 0.0 132.34 0.0
S332114 173.6507 124.031 2.476e-18 2.493e-18 1.841e-18 0.0 134.51 0.0
S332115 173.6529 124.0278 1.321e-17 1.323e-17 9.525e-18 0.0 134.31 0.0
S332116 173.6258 124.0534 2.437e-17 2.187e-17 1.314e-17 0.0 133.34 0.0
S332117 173.6561 124.019 5.555e-23 1.5239999999999998e-22 9.062e-22 0.0 134.78 0.0
S332118 173.6071 124.0239 3.856e-18 4.09e-18 3.407e-18 0.0 135.64 0.0
S332119 173.7079 124.0683 1.882e-18 2.089e-18 1.909e-18 0.0 132.19 0.0
S332120 173.6209 124.0229 2.537e-19 3.227e-19 3.852e-19 0.0 135.06 0.0
S332121 173.6662 124.0304 4.513e-18 4.564e-18 3.348e-18 0.001 133.99 0.0
S332122 173.6624 124.0215 2.621e-17 6.049e-17 2.455e-16 0.001 134.48 0.0
S332123 173.6965 124.0295 3.698e-19 4.895e-19 6.489e-19 0.0 133.38 0.0
S332124 173.6717 124.0239 6.693e-19 7.791e-19 7.726e-19 0.0 134.23 0.0
S332125 173.676 124.0636 1.03e-12 9.999e-13 6.737e-13 0.0 132.78 1.0
S332126 173.6621 124.0378 1.159e-22 2.5879999999999997e-22 9.846999999999999e-22 0.0 133.63 0.0
S332127 173.6265 124.0519 1.356e-17 1.242e-17 7.55e-18 0.0 132.75 0.0
S332128 173.6229 124.0218 2.008e-17 1.849e-17 1.083e-17 0.0 135.18 0.0
S332129 173.6407 124.082 3.301e-19 4.141e-19 4.763e-19 0.0 132.98 0.0
S332130 173.6292 124.0152 1.656e-22 3.9819999999999995e-22 1.704e-21 0.0 135.18 0.0
S332131 173.6042 124.0321 2.968e-19 4e-19 5.398e-19 0.0 135.06 0.0
S332132 173.6032 124.0214 4.842e-18 5.109e-18 3.988e-18 0.0 135.11 0.0
S332133 173.6297 124.0296 1.303e-22 3.4799999999999997e-22 1.955e-21 0.0 135.07 0.0
S332134 173.6497 124.0559 2.923e-21 2.0120000000000002e-21 6.98e-22 0.0 132.75 0.0
S332135 173.675 124.0294 2.984e-22 6.917e-22 2.9e-21 0.0 133.47 0.0
S332136 173.6959 124.0371 3.417e-17 5.507e-17 1.081e-16 0.0 132.73 0.0
S332137 173.6717 124.0364 1.5869999999999998e-22 3.808e-22 1.679e-21 0.0 133.0 0.0
S332138 173.6654 124.0518 2.272e-16 1.889e-16 9.565e-17 0.0 132.79 0.0
S332139 173.6218 124.0517 1.573e-16 1.257e-16 5.929e-17 0.0 133.84 0.0
S332140 173.6089 124.0214 6.915e-18 7.011e-18 5.274e-18 0.0 135.29 0.0
