Name X Y BlueF GreenF RedF Size RadialVelocity
DG0830 1.0864 8.5072 1.376e-25 3.795e-27 1.682e-32 48.9993 1661.79
DG0831 0.7400 8.3532 1.349e-25 3.867e-27 2.046e-32 57.4902 1665.68
DG0832 0.5661 8.5298 1.601e-16 1.247e-16 5.930e-17 46.6998 1665.42
DG0833 0.8398 8.1597 1.415e-25 3.658e-27 1.944e-32 55.6263 1666.08
DG0865 7.4651 -17.5013 1.045e-15 8.513e-16 3.508e-16 143.7625 580.71
DG0866 7.7403 -17.7202 9.384e-16 7.618e-16 3.284e-16 116.2849 580.38
DG0867 7.3803 -17.7752 8.662e-16 7.133e-16 3.080e-16 102.6518 580.37
DG0868 7.4785 -17.8634 6.688e-16 5.323e-16 2.529e-16 133.1401 581.26
DG0869 -8.3403 -17.6547 1.792e-15 1.515e-15 6.685e-16 240.2384 321.95
DG0870 -28.8990 -10.5162 4.001e-16 3.225e-16 1.516e-16 122.8209 815.62
DG0971 4.1255 24.7789 1.014e-15 8.884e-16 3.834e-16 164.9626 494.29
DG0972 3.9450 24.9823 1.420e-15 1.233e-15 5.004e-16 139.9836 495.18
DG0973 4.0191 25.0322 1.037e-15 8.049e-16 3.595e-16 274.0219 495.17
DG0983 -3.1771 -34.5463 8.278e-16 6.741e-16 3.094e-16 240.7004 561.18
DG0984 -2.8783 -34.2100 9.819e-16 8.459e-16 3.269e-16 111.579 559.52
DG0985 -2.9759 -34.7610 1.171e-15 8.969e-16 4.018e-16 131.6959 560.36
DG0986 -3.5459 -34.6766 5.597e-26 1.500e-27 7.102e-33 152.9436 559.67
DG0987 -2.9905 -34.6300 1.500e-15 1.164e-15 4.751e-16 128.3825 560.25
DG0988 -3.3550 -34.5269 5.926e-26 1.436e-27 7.064e-33 127.3773 559.79
DG1030 6.3992 -36.5130 7.692e-16 6.186e-16 2.996e-16 108.8595 650.63
DG1031 6.4860 -36.4845 8.829e-16 5.990e-16 2.994e-16 97.8664 649.7
DG1032 6.5912 -36.3681 7.976e-16 5.794e-16 2.545e-16 112.5435 649.84
DG1034 -4.3821 -16.3981 2.374e-16 1.883e-16 7.696e-17 172.4479 1095.32
DG1035 -4.4682 -16.4310 6.740e-26 1.713e-27 8.234e-33 76.014 1094.35
DG1036 -4.5756 -16.3709 2.267e-16 1.889e-16 8.830e-17 96.1686 1094.78
DG1037 -4.2463 -16.3955 6.681e-26 1.763e-27 7.720e-33 80.7093 1096.27
DG1038 -4.4284 -16.5464 3.677e-16 3.109e-16 1.403e-16 72.1987 1096.52
DG1039 -4.4171 -16.5714 6.216e-26 1.751e-27 7.821e-33 82.3998 1095.22
DG1040 -4.2389 -16.4370 2.923e-16 2.470e-16 1.152e-16 68.7392 1095.45
DG1114 36.1975 41.7528 3.397e-15 2.683e-15 1.258e-15 343.9467 234.07
DG1150 26.6258 33.8930 7.991e-15 6.821e-15 2.979e-15 359.4632 176.1
DG1151 26.0198 34.2413 5.796e-15 5.215e-15 1.914e-15 372.2522 175.69
DG1152 26.6153 34.0900 8.687e-15 7.462e-15 2.936e-15 408.8038 176.0
DG1291 19.6043 25.4715 1.836e-16 1.647e-16 6.318e-17 122.4447 1246.21
DG1292 19.6223 25.3031 2.610e-16 2.246e-16 1.014e-16 67.9458 1246.64
DG1293 19.6109 25.4802 2.653e-16 2.137e-16 9.837e-17 65.1022 1245.81
DG1294 19.6251 25.4802 2.526e-16 2.086e-16 1.083e-16 81.4734 1246.6
DG1295 19.5526 25.3896 2.213e-16 1.918e-16 8.806e-17 57.2529 1247.05
DG1296 19.5368 25.5607 3.489e-16 2.850e-16 1.199e-16 64.75 1246.41
DG1322 -22.6762 13.4364 5.997e-15 4.707e-15 2.150e-15 891.9687 203.42
DG1323 -23.3856 14.0950 1.300e-14 9.659e-15 3.640e-15 435.3564 201.51
DG1324 -23.0255 14.6538 7.868e-15 6.209e-15 2.871e-15 390.9156 203.26
DG1325 -23.3496 13.7004 1.333e-14 9.499e-15 3.784e-15 429.3968 201.71
DG1326 -23.7708 13.6449 8.498e-15 6.750e-15 2.851e-15 375.5931 201.96
DG1327 -22.0638 14.4119 9.503e-15 8.364e-15 3.490e-15 445.4411 201.96
DG1328 -22.6178 12.9533 1.825e-25 4.507e-27 2.181e-32 393.961 203.1
DG1329 -22.7631 13.9283 1.841e-25 4.471e-27 2.151e-32 464.0257 202.09
DG1334 -37.1675 -9.2374 3.299e-16 2.680e-16 1.190e-16 135.2167 894.87
DG1347 -40.8499 -11.0501 4.634e-16 3.821e-16 1.607e-16 311.3191 725.49
DG1348 -40.4725 -10.9587 7.120e-16 5.472e-16 2.199e-16 95.4256 726.91
DG1349 -41.0923 -11.0620 6.919e-16 5.530e-16 2.354e-16 107.1788 724.25
DG1350 -41.1953 -10.9807 4.884e-16 3.905e-16 1.720e-16 130.3028 723.37
DG1351 -41.4214 -10.9281 5.185e-26 1.408e-27 6.608e-33 124.9099 726.44
DG1352 -40.6664 -10.7975 7.419e-16 5.975e-16 2.944e-16 92.0534 726.42
DG1353 -40.6053 -11.2096 5.328e-26 1.342e-27 6.974e-33 113.6936 724.17
DG1354 -41.0429 -10.8346 6.663e-16 5.625e-16 2.311e-16 93.3377 726.03
DG1355 -40.6909 -11.3998 6.677e-16 5.353e-16 2.439e-16 93.6746 726.81
DG1394 -18.8160 12.2752 9.815e-16 8.007e-16 3.697e-16 330.5244 455.73
DG1395 -18.4854 12.3525 2.368e-15 1.784e-15 6.893e-16 183.4214 453.28
DG1396 -18.4167 12.3274 1.794e-15 1.404e-15 6.129e-16 188.3844 451.66
DG1397 -19.2105 11.8434 1.572e-15 1.251e-15 5.327e-16 172.2309 455.77
DG1398 -18.5565 12.6517 1.748e-15 1.364e-15 6.577e-16 217.1038 452.11
DG1399 -18.6407 12.2837 1.601e-15 1.311e-15 5.281e-16 146.1949 451.87
DG1400 -19.1021 12.4427 2.449e-15 1.749e-15 7.235e-16 141.2121 452.43
DG1401 -18.7419 12.0353 1.693e-15 1.384e-15 6.550e-16 186.2237 454.45
DG1402 -19.0327 12.9946 1.692e-15 1.523e-15 6.328e-16 174.2777 454.32
DG1417 15.9313 7.5894 8.879e-17 7.758e-17 3.472e-17 30.9157 2097.76
DG1418 15.9517 7.6101 1.058e-16 8.420e-17 3.960e-17 41.5503 2098.62
DG1419 37.5912 14.8336 1.210e-15 8.599e-16 3.086e-16 198.8102 930.3
DG1420 37.5696 14.7556 3.197e-16 2.163e-16 1.141e-16 159.9069 928.48
DG1421 37.6280 14.3422 3.983e-16 3.494e-16 1.547e-16 78.812 931.17
DG1422 37.2397 14.8119 3.866e-16 3.270e-16 1.393e-16 93.062 931.35
DG1423 37.4358 14.5456 6.087e-16 4.916e-16 1.866e-16 73.3889 931.63
DG1424 37.3315 14.8155 4.188e-16 3.502e-16 1.542e-16 79.7224 928.35
DG1425 37.4363 14.6090 4.132e-16 3.387e-16 1.618e-16 81.0463 927.64
DG1426 37.1381 14.6453 3.222e-16 2.351e-16 1.072e-16 93.1302 931.59
DG1427 37.2981 14.9356 2.938e-16 2.439e-16 9.935e-17 93.8427 929.39
DG1428 37.5201 15.1776 3.996e-16 3.327e-16 1.634e-16 79.7984 930.33
DG1429 37.8058 14.8478 3.867e-16 3.445e-16 1.591e-16 76.2086 929.93
DG1430 37.4345 14.5244 4.739e-16 3.922e-16 1.684e-16 98.6522 928.07
DG1431 37.6678 14.8306 3.285e-16 2.518e-16 1.128e-16 202.0629 928.99
DG1452 40.4514 13.9527 1.360e-16 1.121e-16 5.222e-17 43.3622 1844.38
DG1453 40.4341 13.9010 1.679e-16 1.508e-16 6.518e-17 34.5024 1843.76
DG1454 40.4285 13.9885 8.196e-17 6.503e-17 3.044e-17 53.5705 1845.69
DG1455 40.4832 13.9401 1.210e-16 1.085e-16 4.279e-17 44.5445 1845.57
DG1482 -37.4514 -27.1059 2.330e-15 2.007e-15 8.413e-16 194.6663 387.11
DG1483 -37.2194 -26.5641 2.463e-15 1.944e-15 8.106e-16 172.5407 386.51
DG1484 -37.3915 -26.8970 1.789e-15 1.307e-15 5.944e-16 254.434 386.65
DG1485 -15.1379 27.6947 4.291e-15 3.714e-15 1.425e-15 563.3139 208.98
DG1486 -14.9338 27.9651 8.344e-15 6.259e-15 2.519e-15 305.1527 209.09
DG1487 -14.7207 27.0069 6.774e-15 5.461e-15 2.335e-15 359.1155 208.97
DG1488 -15.8429 28.0526 5.882e-15 4.781e-15 1.967e-15 370.0794 208.21
DG1489 -14.8255 27.3760 6.042e-15 4.396e-15 2.022e-15 334.9401 208.07
DG1508 22.9448 26.7707 1.167e-15 9.273e-16 4.117e-16 358.7861 455.23
DG1509 22.8682 27.1806 1.637e-15 1.405e-15 6.164e-16 181.9021 454.79
DG1510 22.1848 26.6779 6.616e-26 1.763e-27 8.351e-33 204.4769 454.2
DG1511 23.0477 27.1035 7.181e-26 1.940e-27 7.631e-33 231.8953 453.07
DG1512 23.1613 27.4330 1.770e-15 1.289e-15 6.050e-16 167.2597 453.95
DG1513 23.3068 26.8167 1.591e-15 1.381e-15 5.547e-16 155.1873 455.3
DG1514 22.4162 26.6150 1.609e-15 1.334e-15 5.464e-16 163.3939 454.21
