Name X Y BlueF GreenF RedF Size RadialVelocity
DG0885 -10.5884 31.7814 2.783e-15 2.217e-15 7.456e-16 140.6608 606.89
DG0886 -11.9247 32.1105 1.231e-15 8.635e-16 3.945e-16 143.2073 605.73
DG0887 -10.1729 33.2122 5.505e-26 1.480e-27 6.250e-33 162.0646 608.29
DG0888 -10.6968 32.7675 1.501e-15 1.229e-15 5.067e-16 153.14 607.18
DG0889 -10.4173 32.6176 1.029e-15 9.534e-16 4.020e-16 113.2236 605.37
DG0890 -10.5533 31.1756 9.650e-16 8.595e-16 3.382e-16 124.8232 608.19
DG0891 -9.7431 31.4551 1.100e-15 9.046e-16 3.915e-16 120.3082 606.39
DG0892 -11.1135 31.9304 1.050e-15 9.051e-16 3.827e-16 128.3779 610.15
DG0893 -10.2637 31.6815 5.073e-26 1.532e-27 6.022e-33 153.9014 610.94
DG0894 -10.4471 31.8168 8.372e-16 6.711e-16 2.849e-16 322.0663 606.43
DG0895 -10.8417 31.0562 1.231e-15 8.992e-16 4.759e-16 157.6925 606.23
DG0896 -9.8409 30.6868 6.853e-16 6.552e-16 2.850e-16 152.5984 608.06
DG0897 -11.0068 31.7781 7.750e-16 6.370e-16 2.631e-16 207.4081 607.67
DG0898 -10.9719 31.3774 8.610e-16 6.877e-16 3.008e-16 260.3043 606.86
DG0899 -11.3327 32.9710 9.955e-16 8.168e-16 3.621e-16 126.6814 605.43
DG0900 -9.9349 32.3834 1.189e-15 1.010e-15 4.442e-16 175.3417 606.07
DG0901 -11.4875 32.9902 1.594e-15 1.213e-15 4.989e-16 147.7503 606.43
DG0902 -9.6551 31.3158 8.364e-16 6.462e-16 2.907e-16 150.1453 605.96
DG0903 -11.0231 32.6835 9.693e-16 8.076e-16 3.167e-16 130.9246 604.98
DG0904 -11.0523 31.6760 6.190e-26 1.569e-27 7.590e-33 196.3163 607.73
DG0905 -11.4219 33.0066 1.074e-15 8.969e-16 3.657e-16 143.6426 610.9
DG0906 -11.6729 32.0261 1.302e-15 9.587e-16 4.687e-16 145.4975 608.08
DG0907 -10.6962 30.2631 1.087e-15 8.508e-16 3.801e-16 155.9908 611.98
DG0908 -10.8410 32.5896 8.224e-16 6.222e-16 2.798e-16 162.9917 605.16
DG0911 21.2927 4.7859 1.316e-16 1.143e-16 4.787e-17 36.094 1726.45
DG0912 21.2710 4.7465 1.468e-25 4.189e-27 1.941e-32 48.1432 1726.53
DG0961 15.8511 8.3445 1.789e-16 1.556e-16 6.416e-17 50.2001 1478.74
DG0962 15.8051 8.3025 2.034e-16 1.602e-16 7.236e-17 57.6252 1478.59
DG0968 -1.5990 -42.4515 8.273e-15 7.622e-15 3.272e-15 380.4429 188.17
DG0969 -2.6044 -43.3261 9.499e-15 8.378e-15 3.710e-15 523.7248 187.72
DG0970 -2.5847 -43.2918 6.752e-15 4.612e-15 2.356e-15 397.5 188.18
DG0980 -39.9536 4.1788 5.531e-26 1.496e-27 5.613e-33 116.5571 598.6
DG0981 -40.0431 4.1630 6.901e-16 6.181e-16 2.395e-16 167.0338 598.86
DG0982 -40.0187 4.0600 7.064e-16 5.327e-16 2.539e-16 137.7555 599.22
DG1041 25.7065 8.4427 1.778e-16 1.429e-16 6.741e-17 176.3671 1179.22
DG1042 25.6796 8.5449 2.878e-16 2.615e-16 1.018e-16 74.6793 1178.18
DG1043 25.6813 8.4065 2.918e-16 2.373e-16 1.044e-16 78.0591 1179.64
DG1044 25.5923 8.2301 2.868e-16 2.396e-16 1.165e-16 69.6117 1177.44
DG1045 25.5869 8.4248 7.078e-26 1.939e-27 9.328e-33 80.441 1177.39
DG1046 25.8472 8.5893 2.607e-16 2.189e-16 1.029e-16 65.5455 1177.89
DG1047 25.8503 8.5816 7.551e-26 2.013e-27 9.326e-33 82.4252 1177.9
DG1048 25.6679 8.5957 2.557e-16 2.206e-16 9.723e-17 61.7242 1179.66
DG1049 25.8531 8.4382 3.770e-16 3.019e-16 1.220e-16 69.0453 1177.95
DG1051 14.2362 10.5659 1.088e-15 7.620e-16 2.779e-16 172.269 1007.39
DG1052 14.8333 10.2309 2.586e-16 2.165e-16 9.138e-17 110.1332 1006.92
DG1053 14.6626 11.0999 2.567e-16 1.940e-16 9.160e-17 122.9682 1012.39
DG1054 13.7549 10.2407 2.947e-16 2.270e-16 9.111e-17 139.1219 1004.23
DG1055 13.5052 9.9017 6.119e-26 1.596e-27 8.242e-33 82.3372 1004.56
DG1056 15.0611 10.9119 3.643e-16 3.402e-16 1.610e-16 89.0573 1007.72
DG1057 13.6737 10.5330 6.939e-26 1.513e-27 7.725e-33 106.8885 1005.28
