Name X Y BlueF GreenF RedF Parallax RadialVelocity Variable?
S002405 -43.6445 -34.6598 1.425e-21 2.961e-21 9.707e-21 0.0 82.66 0.0
S002406 -43.6327 -34.6495 5.563e-24 1.865e-23 1.620e-22 0.0 82.28 0.0
S002407 -43.6131 -34.5989 1.182e-12 8.356e-13 3.108e-13 0.0 80.11 0.0
S002408 -43.6679 -34.6895 1.038e-16 1.596e-16 2.748e-16 0.0 83.73 0.0
S002409 -43.6349 -34.6922 8.353e-18 7.853e-18 5.080e-18 0.0 83.67 0.0
S002410 -43.5971 -34.6047 1.697e-17 1.597e-17 1.041e-17 0.0 80.12 0.0
S002411 -43.6388 -34.6487 2.165e-17 2.076e-17 1.332e-17 0.0 82.46 0.0
S002412 -43.6664 -34.6323 1.884e-18 1.974e-18 1.551e-18 0.0 83.25 0.0
S002413 -43.632 -34.6741 1.642e-21 3.216e-21 9.689e-21 0.0 82.69 0.0
S002414 -43.6299 -34.6245 5.122e-20 7.888e-20 1.415e-19 0.0 81.36 0.0
