Name X Y BlueF GreenF RedF Size RadialVelocity
DG1139 -3.1484 -12.1284 4.310e-15 3.082e-15 1.324e-15 236.7654 298.54
DG1140 -2.9643 -12.3188 3.980e-15 3.474e-15 1.481e-15 327.685 297.06
DG1309 -26.0857 -40.7587 1.517e-15 1.257e-15 5.862e-16 168.8293 506.68
DG1310 -26.1555 -40.6247 9.586e-16 8.391e-16 3.417e-16 195.3413 505.51
DG1311 -26.0092 -40.9475 9.607e-16 7.520e-16 3.666e-16 167.0291 505.89
DG1312 -25.9380 -40.8611 1.314e-15 1.114e-15 4.275e-16 133.2844 505.72
DG1364 -16.3828 25.1402 3.856e-16 3.212e-16 1.410e-16 82.4337 937.4
DG1365 -16.3307 25.1120 2.575e-16 2.173e-16 9.254e-17 88.4118 937.04
DG1366 -12.8068 -8.5648 4.967e-16 4.088e-16 1.364e-16 115.4863 1499.36
DG1367 -12.9617 -8.6774 1.480e-16 1.215e-16 4.984e-17 83.9809 1502.08
DG1368 -13.1244 -8.4269 2.520e-16 2.149e-16 9.094e-17 51.4076 1502.34
DG1369 -12.4777 -8.5177 1.708e-16 1.578e-16 6.142e-17 46.7247 1505.45
DG1370 -12.7319 -8.3789 1.914e-16 1.612e-16 8.072e-17 54.1054 1500.87
DG1371 -12.9993 -8.5323 1.628e-16 1.417e-16 6.889e-17 51.1999 1502.55
DG1372 -12.5584 -8.6008 1.908e-16 1.608e-16 7.246e-17 57.9124 1499.25
DG1373 -12.6771 -8.6027 1.938e-16 1.610e-16 7.906e-17 58.6956 1505.25
DG1374 -12.8972 -8.7883 2.068e-16 1.548e-16 7.380e-17 55.7019 1501.24
DG1375 -12.7817 -8.6930 1.633e-16 1.549e-16 6.553e-17 54.5385 1504.95
DG1376 -12.9595 -8.6262 1.809e-16 1.549e-16 6.988e-17 49.7155 1504.38
DG1377 -12.7732 -8.3853 1.710e-16 1.485e-16 6.629e-17 49.2368 1498.53
DG1378 -12.8878 -8.2830 1.671e-16 1.357e-16 6.000e-17 49.6626 1504.34
DG1379 -12.7052 -8.7009 1.816e-16 1.391e-16 6.845e-17 49.5164 1504.17
DG1380 -12.6530 -8.7036 1.877e-16 1.410e-16 6.684e-17 43.8436 1497.97
DG1381 -12.8824 -8.4976 1.259e-16 1.046e-16 4.571e-17 80.475 1501.31
DG1382 -13.1075 -8.4280 9.998e-26 2.917e-27 1.347e-32 59.8863 1505.82
DG1383 -12.9364 -8.5477 1.076e-25 2.678e-27 1.188e-32 62.5721 1503.08
DG1384 -13.1140 -8.5644 1.720e-16 1.298e-16 6.256e-17 49.8723 1497.84
DG1393 -29.5742 30.8519 7.428e-16 6.581e-16 2.832e-16 143.4969 577.22
DG1414 30.4800 -4.7313 1.081e-15 8.785e-16 3.646e-16 143.5163 568.54
DG1415 30.0750 -4.6850 1.334e-15 1.053e-15 4.647e-16 156.0008 567.34
DG1416 30.3246 -4.9254 1.694e-15 1.377e-15 5.007e-16 148.604 567.56
DG1456 43.6825 -7.5865 1.464e-16 1.188e-16 5.625e-17 45.3779 1639.02
