Name Equatorial Polar BlueF GreenF RedF Size RadialVelocity
DG0275 135.5994 60.6845 4.459e-16 3.656e-16 1.668e-16 68.1142 908.48
DG0276 135.2901 60.6315 4.357e-16 3.436e-16 1.518e-16 79.7771 906.41
DG0277 135.3236 60.7034 4.581e-16 3.715e-16 1.595e-16 84.1652 908.28
DG0278 135.7003 60.6830 4.632e-16 4.147e-16 1.935e-16 95.5746 906.62
DG0279 135.5959 60.7340 4.534e-16 3.604e-16 1.625e-16 80.7712 907.31
DG0280 181.4383 28.7306 7.661e-17 5.973e-17 2.937e-17 38.2667 1990.91
DG0281 325.5356 134.3174 5.644e-26 1.655e-27 7.929e-33 104.7432 1058.53
DG0282 325.6642 134.2883 2.421e-16 2.081e-16 8.713e-17 74.5316 1056.89
DG0283 325.4931 134.3433 3.271e-16 2.592e-16 1.275e-16 73.3407 1056.71
DG0284 325.4455 134.2566 3.823e-16 3.211e-16 1.418e-16 85.032 1056.87
DG0285 323.1468 46.8850 5.391e-16 4.871e-16 1.975e-16 196.1544 658.15
DG0286 323.3407 47.1641 5.580e-26 1.387e-27 6.487e-33 168.5147 658.35
DG0287 323.4475 47.1315 5.930e-16 5.049e-16 2.172e-16 119.2956 658.62
DG0288 323.4534 46.8336 7.559e-16 6.562e-16 2.830e-16 120.2194 658.64
DG0289 323.4644 46.7301 9.100e-16 7.323e-16 3.141e-16 128.0271 656.52
DG0290 25.0855 151.0084 2.495e-16 1.897e-16 7.140e-17 150.8961 1102.61
DG0291 25.1012 150.9357 2.037e-16 1.628e-16 7.918e-17 84.4601 1100.64
DG0292 24.9657 151.0467 2.962e-16 2.741e-16 1.194e-16 85.5675 1101.25
DG0293 24.6695 151.0047 4.227e-16 3.307e-16 1.398e-16 76.6692 1101.93
DG0294 25.3679 150.8174 7.453e-26 1.835e-27 8.429e-33 84.4707 1101.85
DG0295 24.9834 150.7792 2.909e-16 2.432e-16 9.953e-17 61.0805 1101.22
DG0296 25.4528 151.1075 1.971e-16 1.872e-16 7.635e-17 86.9793 1101.59
DG0297 25.1464 151.0817 2.956e-16 2.417e-16 1.152e-16 69.906 1102.58
DG0298 76.2798 153.3021 9.526e-16 7.174e-16 2.149e-16 183.8366 1062.43
DG0299 76.1606 153.4111 6.255e-26 1.769e-27 8.610e-33 92.3299 1062.15
DG0300 76.1494 153.3727 2.230e-16 1.943e-16 8.858e-17 157.6842 1061.26
DG0301 75.7203 153.5307 3.538e-16 2.920e-16 1.397e-16 61.1189 1062.04
DG0302 77.0345 152.9055 3.311e-16 3.001e-16 1.310e-16 77.3828 1063.0
DG0303 76.4540 153.3839 4.549e-16 3.693e-16 1.436e-16 79.0053 1063.29
DG0304 76.8913 152.9629 3.500e-16 2.818e-16 1.340e-16 71.873 1060.64
DG0305 76.5553 153.6204 3.576e-16 2.683e-16 1.287e-16 76.479 1061.87
