Name,X,Y,BlueF,GreenF,RedF,Parallax,RadialVelocity,Variable?
BottomS03913,42.1434,8.2398,1.438e-13,1.323e-13,7.794e-14,0.001,63.93,1
BottomS03914,42.1234,8.2619,1.068e-17,8.695e-18,4.331e-18,0.0,62.92,0
BottomS03915,42.1301,8.2743,1.224e-18,1.951e-18,3.832e-18,0.0,62.63,0
BottomS03918,42.1738,8.2601,1.427e-20,2.024e-20,3.093e-20,-0.0,63.43,0
BottomS03919,42.1517,8.2311,3.502e-20,4.624e-20,5.998e-20,0.0,64.41,0
BottomS03921,42.2344,8.2420,3.896e-18,6.046e-18,1.089e-17,-0.0,64.11,0
BottomS03923,42.0433,8.2655,1.003e-18,9.658e-19,6.558e-19,0.0,62.7,0
BottomS03924,42.0618,8.2892,1.264e-20,1.690e-20,2.326e-20,0.001,62.53,0
BottomS03927,42.1546,8.2312,3.204e-19,3.488e-19,2.940e-19,0.0,64.28,0
BottomS03928,42.1581,8.2385,1.059e-19,1.229e-19,1.216e-19,-0.0,64.08,0
BottomS03930,42.1910,8.2001,2.772e-20,3.628e-20,4.408e-20,0.001,65.08,0
BottomS03932,42.0978,8.2476,2.986e-18,6.848e-18,2.751e-17,0.0,63.31,0
BottomS03934,42.0986,8.1988,3.925e-19,4.133e-19,3.405e-19,-0.001,64.57,0
BottomS03935,42.0483,8.2089,8.155e-18,1.467e-17,3.502e-17,-0.0,63.92,0
BottomS03936,42.0997,8.1575,6.322e-18,1.368e-17,4.737e-17,0.001,64.96,1
BottomS03937,42.0926,8.2399,9.515e-20,1.162e-19,1.260e-19,-0.0,63.57,0
BottomS03938,42.1134,8.2087,1.575e-13,1.172e-13,4.736e-14,0.0,64.91,0
BottomS03939,42.1386,8.2340,4.746e-18,9.450e-18,2.801e-17,-0.0,64.52,0
BottomS03940,42.0782,8.2694,4.610e-18,3.953e-18,2.124e-18,0.001,62.67,0
BottomS03941,42.1211,8.2009,3.396e-19,3.588e-19,2.947e-19,-0.0,64.83,0
BottomS03942,42.1165,8.2195,8.640e-19,1.335e-18,2.394e-18,0.0,64.62,0
BottomS03945,42.1560,8.2541,1.167e-19,1.360e-19,1.321e-19,0.0,63.58,0
BottomS03946,42.0650,8.1870,1.840e-18,1.690e-18,1.028e-18,-0.0,64.51,0
BottomS03949,42.0604,8.2598,4.752e-20,6.051e-20,7.388e-20,-0.0,62.42,0
BottomS03950,42.1434,8.2619,2.023e-19,2.292e-19,2.131e-19,0.0,63.37,0
BottomS03951,42.1205,8.1898,1.915e-17,1.532e-17,7.107e-18,-0.0,64.93,1
BottomS03952,42.0799,8.2870,6.202e-14,4.503e-14,1.712e-14,0.0,62.58,0
BottomS03953,42.1448,8.2102,1.379e-18,1.257e-18,7.701e-19,0.0,64.5,0
BottomS03954,42.1173,8.2760,2.939e-18,2.561e-18,1.441e-18,0.0,62.77,0
BottomS03955,42.1368,8.1788,4.420e-18,3.905e-18,2.199e-18,-0.0,65.0,0
BottomS03959,42.1718,8.2203,9.480e-20,1.096e-19,1.030e-19,-0.001,64.74,0
BottomS03960,42.1346,8.1963,5.338e-17,3.982e-17,1.600e-17,0.001,64.82,0
BottomS03961,42.1030,8.2781,2.696e-19,2.794e-19,2.216e-19,-0.0,62.69,0
BottomS03962,42.1153,8.2611,3.853e-20,5.084e-20,6.511e-20,-0.0,63.02,0
BottomS03963,42.1209,8.2109,6.016e-19,5.996e-19,4.326e-19,0.0,64.31,0
BottomS03964,42.0962,8.2264,6.108e-19,6.201e-19,4.585e-19,-0.001,64.37,0
BottomS03965,42.1063,8.2776,4.484e-18,3.835e-18,2.045e-18,-0.0,62.65,0
BottomS03966,42.1269,8.2288,1.257e-18,2.379e-18,6.184e-18,0.0,64.21,0
BottomS03969,42.0817,8.2314,1.451e-13,1.064e-13,4.181e-14,0.0,63.8,0
BottomS03971,42.1202,8.2182,2.094e-20,2.756e-20,3.646e-20,-0.001,64.5,0
BottomS03972,42.0900,8.1980,1.429e-18,3.014e-18,1.032e-17,0.0,64.52,0
BottomS03973,42.1155,8.2892,1.928e-19,2.196e-19,2.105e-19,0.001,62.43,0
BottomS03974,42.1152,8.2997,1.469e-18,2.306e-18,4.178e-18,0.0,62.35,0
BottomS03975,42.1611,8.2762,1.636e-18,1.473e-18,8.570e-19,-0.0,62.98,0
BottomS03976,42.1091,8.3245,5.526e-19,9.282e-19,1.969e-18,-0.0,62.24,0
BottomS03978,42.1159,8.1963,1.674e-18,1.541e-18,9.531e-19,-0.001,64.92,0
BottomS03980,42.1454,8.2569,5.420e-17,3.938e-17,1.540e-17,-0.001,63.45,0
BottomS03982,42.1028,8.2907,2.540e-19,2.789e-19,2.390e-19,-0.0,62.54,0
BottomS03987,42.1102,8.2531,9.545e-19,9.194e-19,6.238e-19,0.0,63.09,0
BottomS03988,42.1380,8.1941,2.316e-17,1.844e-17,8.301e-18,0.0,64.91,1
BottomS03990,42.0898,8.2627,5.835e-18,1.237e-17,4.239e-17,-0.001,62.72,1
BottomS03993,42.0721,8.2001,3.776e-19,4.003e-19,3.348e-19,-0.0,64.38,0
BottomS03994,42.0830,8.2413,6.477e-18,5.451e-18,2.888e-18,0.0,63.26,0
BottomS03996,42.0771,8.2830,4.006e-14,2.709e-14,9.187e-15,-0.0,62.64,0
BottomS04000,42.1174,8.2349,5.762e-19,5.704e-19,4.163e-19,0.001,64.09,0
BottomS04001,42.0943,8.1938,4.229e-19,4.519e-19,3.771e-19,-0.0,64.86,0
BottomS04002,42.0776,8.2398,1.210e-13,9.299e-14,3.991e-14,0.001,63.34,1
BottomS04008,42.1365,8.2117,4.107e-18,3.536e-18,1.848e-18,-0.0,64.81,0
BottomS04010,42.1143,8.2173,1.245e-19,1.445e-19,1.395e-19,0.0,64.54,0
BottomS04011,42.1167,8.2604,1.799e-18,2.970e-18,5.992e-18,0.001,62.91,0
BottomS04012,42.1157,8.2184,2.472e-18,2.126e-18,1.171e-18,0.001,64.5,0
BottomS04015,42.1624,8.1860,1.540e-18,1.491e-18,9.889e-19,0.001,64.81,0
BottomS04018,42.1872,8.2083,5.893e-17,4.439e-17,1.749e-17,-0.0,64.43,0
BottomS04020,42.1771,8.2245,1.718e-18,1.578e-18,9.703e-19,0.001,64.44,0
BottomS04021,42.1466,8.2116,1.725e-18,1.677e-18,1.155e-18,-0.0,64.92,0
BottomS04022,42.1582,8.2340,1.253e-18,1.120e-18,6.211e-19,-0.0,64.31,0
BottomS04023,42.1070,8.2165,1.212e-13,8.704e-14,3.177e-14,-0.0,64.39,0
BottomS04024,42.0800,8.2567,2.959e-17,2.193e-17,8.916e-18,0.001,62.55,0
BottomS04026,42.0730,8.2532,8.057e-14,5.602e-14,2.008e-14,-0.001,63.04,0
