Name X Y BlueF GreenF RedF Size RadialVelocity
DG0567 35.9236 -11.6460 4.959e-16 4.364e-16 1.895e-16 84.1711 839.9
DG0568 35.2699 -11.6157 5.815e-16 3.900e-16 1.987e-16 92.917 842.76
DG0569 35.7847 -11.6372 5.678e-16 4.741e-16 2.227e-16 107.3198 842.26
DG0570 35.3352 -11.3986 5.690e-16 4.471e-16 2.253e-16 112.7132 840.69
DG0571 35.2570 -11.7427 5.800e-26 1.520e-27 6.736e-33 94.6758 841.41
DG0572 35.9456 -12.1331 5.775e-16 4.351e-16 1.780e-16 84.0168 841.73
DG0605 -30.8120 41.0194 3.662e-15 3.213e-15 1.232e-15 568.7015 271.9
DG0606 -31.2455 42.2025 5.342e-15 4.459e-15 1.733e-15 365.6278 273.18
DG0607 -30.8588 39.7741 4.745e-15 3.323e-15 1.556e-15 248.3326 273.18
DG0608 -31.8555 42.3149 4.731e-15 3.376e-15 1.605e-15 266.8273 272.06
DG0609 -31.5497 42.0705 5.653e-15 4.297e-15 2.004e-15 314.38 272.04
DG0610 -30.1199 40.4192 1.229e-25 3.067e-27 1.448e-32 320.7137 273.16
DG0655 -0.6686 -23.0387 1.442e-15 1.427e-15 6.520e-16 259.2199 395.04
DG0662 -3.3947 -7.8495 6.093e-15 4.729e-15 1.895e-15 803.3497 199.62
DG0663 -4.1004 -7.5404 1.602e-25 4.424e-27 1.924e-32 463.1076 199.56
DG0664 -3.3526 -7.7362 7.828e-15 6.252e-15 2.731e-15 382.893 200.76
DG0665 -3.4398 -6.6384 1.677e-25 4.358e-27 2.076e-32 449.9881 200.71
DG0666 -3.9919 -8.4806 1.773e-25 4.406e-27 1.990e-32 397.0452 200.04
DG0667 -4.2515 -8.3707 7.925e-15 6.638e-15 2.672e-15 387.9754 198.95
DG0668 -3.6063 -8.6525 1.601e-25 4.221e-27 1.906e-32 579.4839 199.81
DG0669 -2.7236 -6.9326 1.000e-14 9.126e-15 3.458e-15 455.2817 201.16
DG0680 -32.3193 -42.5542 1.588e-14 1.224e-14 3.845e-15 855.9075 222.6
DG0681 -32.2405 -43.5845 6.136e-15 4.627e-15 1.815e-15 295.2698 222.09
DG0682 -30.6842 -42.9997 1.466e-25 3.519e-27 1.582e-32 365.9251 223.28
DG0683 -30.1650 -41.6209 5.792e-15 4.609e-15 2.302e-15 276.0817 223.98
DG0684 -31.7446 -42.5569 6.302e-15 5.483e-15 2.507e-15 357.4443 223.57
DG0685 -33.1493 -44.5011 1.265e-25 3.282e-27 1.502e-32 366.0992 224.23
DG0686 -34.1319 -43.5540 6.146e-15 4.538e-15 2.085e-15 309.1225 222.77
DG0687 -30.7756 -41.8495 1.390e-25 3.372e-27 1.599e-32 435.5427 221.79
DG0689 -29.9000 -41.2342 4.361e-15 3.740e-15 1.603e-15 352.0404 223.19
DG0702 5.4366 -36.3909 3.930e-15 2.770e-15 8.937e-16 477.2264 505.59
DG0703 5.3127 -36.1219 5.936e-26 1.651e-27 7.250e-33 159.4019 505.51
DG0704 5.0930 -36.8108 1.408e-15 1.203e-15 4.760e-16 138.1796 506.19
DG0705 5.0016 -37.2742 1.232e-15 1.067e-15 4.992e-16 149.9537 503.87
DG0706 5.6614 -36.4508 1.455e-15 1.122e-15 5.152e-16 132.1676 503.8
